127.0.0.1 - - [11/Apr/2024:10:44:42 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=AND&useParams= HTTP/1.1" 200 253
127.0.0.1 - - [11/Apr/2024:10:44:42 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1472
127.0.0.1 - - [11/Apr/2024:10:45:52 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:45:52 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:45:52 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=AND&useParams= HTTP/1.1" 200 253
127.0.0.1 - - [11/Apr/2024:10:45:52 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1470
127.0.0.1 - - [11/Apr/2024:10:45:53 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:45:53 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:45:53 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=AND&useParams= HTTP/1.1" 200 253
127.0.0.1 - - [11/Apr/2024:10:45:53 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1465
127.0.0.1 - - [11/Apr/2024:10:45:56 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:45:56 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=AND&useParams= HTTP/1.1" 200 253
127.0.0.1 - - [11/Apr/2024:10:45:56 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:45:56 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1466
127.0.0.1 - - [11/Apr/2024:10:58:42 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=AND&useParams= HTTP/1.1" 200 253
127.0.0.1 - - [11/Apr/2024:10:58:42 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:10:58:42 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:10:58:42 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1469
127.0.0.1 - - [11/Apr/2024:11:01:36 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:37 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:37 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:37 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:37 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:38 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:38 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:01:39 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:39 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:01:39 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:01:39 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:01:39 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:01:40 +0000] "GET /solr/new_core/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [11/Apr/2024:11:05:14 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:15 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:05:15 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:15 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:05:15 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:16 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:16 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:16 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:17 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:05:17 +0000] "POST /solr/new_core/update HTTP/1.1" 200 56
127.0.0.1 - - [11/Apr/2024:11:05:17 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:17 +0000] "POST /solr/new_core/update HTTP/1.1" 200 57
127.0.0.1 - - [11/Apr/2024:11:05:17 +0000] "GET /solr/new_core/update?commit=true HTTP/1.1" 200 58
127.0.0.1 - - [11/Apr/2024:11:05:23 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:11:05:23 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:11:05:23 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=*:*&q.op=AND&useParams= HTTP/1.1" 200 3982
127.0.0.1 - - [11/Apr/2024:11:05:23 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1466
127.0.0.1 - - [11/Apr/2024:11:05:31 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:11:05:31 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:11:05:31 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=category:Romance&q.op=AND&useParams= HTTP/1.1" 200 2608
127.0.0.1 - - [11/Apr/2024:11:05:31 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1469
127.0.0.1 - - [11/Apr/2024:11:05:45 +0000] "GET /solr/admin/cores?_=1712830710656&indexInfo=false&wt=json HTTP/1.1" 200 557
127.0.0.1 - - [11/Apr/2024:11:05:45 +0000] "GET /solr/new_core/config/params?_=1712831046448&wt=json HTTP/1.1" 200 212
127.0.0.1 - - [11/Apr/2024:11:05:45 +0000] "GET /solr/new_core/select?_=1712831046448&indent=true&q=category:Horror%0Abook:%22The+Shining%22&q.op=AND&useParams= HTTP/1.1" 200 3058
127.0.0.1 - - [11/Apr/2024:11:05:45 +0000] "GET /solr/admin/info/system?_=1712830710656&wt=json HTTP/1.1" 200 1470
